No;Branch_Code;Original_Name;Name;Generation;Height;Weight;Type1;Type2;Ability1;Ability2;Ability_Hidden;Color;Gender_Male;Gender_Female;Gender_Unknown;Egg_Steps;Egg_Group1;Egg_Group2;Get_Rate;Base_Experience;Experience_Type;Category;Mechanic;Region_Form;HP;Attack;Defense;SP_Attack;SP_Defense;Speed;Total;E_HP;E_Attack;E_Defense;E_SP_Attack;E_SP_Defense;E_Speed;Set;Card_Number;Have
547;547_0;Whimsicott;Whimsicott;5;0.7;6.6;Grass;Fairy;Prankster;Infiltrator;Chlorophyll;Green;50;50;0;20;Grass;Fairy;75;168;1000000;Ordinary;;;60;67;85;77;75;116;480;0;0;0;0;0;2;BW Emerging Powers;11;
548;548_0;Petilil;Petilil;5;0.5;6.6;Grass;;Chlorophyll;Own Tempo;Leaf Guard;Green;0;100;0;20;Grass;;190;56;1000000;Ordinary;;;45;35;50;70;50;30;280;0;0;0;1;0;0;Black & White;9;x
549;549_0;Lilligant;Lilligant;5;1.1;16.3;Grass;;Chlorophyll;Own Tempo;Leaf Guard;Green;0;100;0;20;Grass;;75;168;1000000;Ordinary;;;70;60;75;110;75;90;480;0;0;0;2;0;0;Black & White;10;x
549;549_1;Lilligant;Hisuian Lilligant;8;1.2;19.2;Grass;Fighting;Chlorophyll;Hustle;Leaf Guard;Green;0;100;0;20;Grass;;75;168;1000000;Ordinary;;Hisuian;70;105;75;50;75;105;480;0;1;0;0;0;1;SWSH Astral Radiance;16;x
550;550_0;Basculin;Basculin Red Stripe;5;1;18;Water;;Reckless;Adaptability;Mold Breaker;Green;50;50;0;40;Water2;;25;161;1000000;Ordinary;;;70;92;65;80;55;98;460;0;0;0;0;0;2;Black & White;35;x
550;550_1;Basculin;Basculin Blue Stripe;5;1;18;Water;;Rock Head;Adaptability;Mold Breaker;Green;50;50;0;40;Water2;;25;161;1000000;Ordinary;;;70;92;65;80;55;98;460;0;0;0;0;0;2;BW Next Destinies;30;
550;550_2;Basculin;Hisuian Basculin;8;1;18;Water;;Rattled;Adaptability;Mold Breaker;Green;50;50;0;40;Water2;;25;161;1000000;Ordinary;;Hisuian;70;92;65;80;55;98;460;0;0;0;0;0;2;SWSH Astral Radiance;43;x
551;551_0;Sandile;Sandile;5;0.7;15.2;Ground;Dark;Intimidate;Moxie;Anger Point;Brown;50;50;0;20;Ground;;180;58;1059860;Ordinary;;;50;72;35;35;35;65;292;0;1;0;0;0;0;Black & White;63;x
552;552_0;Krokorok;Krokorok;5;1;33.4;Ground;Dark;Intimidate;Moxie;Anger Point;Brown;50;50;0;20;Ground;;90;123;1059860;Ordinary;;;60;82;45;45;45;74;351;0;2;0;0;0;0;Black & White;64;x
553;553_0;Krookodile;Krookodile;5;1.5;96.3;Ground;Dark;Intimidate;Moxie;Anger Point;Red;50;50;0;20;Ground;;45;260;1059860;Ordinary;;;95;117;80;65;70;92;519;0;3;0;0;0;0;Black & White;65;x
554;554_0;Darumaka;Darumaka;5;0.6;37.5;Fire;;Hustle;;Inner Focus;Red;50;50;0;20;Ground;;120;63;1059860;Ordinary;;;70;90;45;15;45;50;315;0;1;0;0;0;0;Black & White;23;x
554;554_1;Darumaka;Galarian Darumaka;8;0.7;40;Ice;;Hustle;;Inner Focus;White;50;50;0;20;Ground;;120;63;1059860;Ordinary;;Galarian;70;90;45;15;45;50;315;0;1;0;0;0;0;SWSH Rebel Clash;47;x
555;555_0;Darmanitan;Darmanitan;5;1.3;92.9;Fire;;Sheer Force;;Zen Mode;Red;50;50;0;20;Ground;;60;168;1059860;Ordinary;;;105;140;55;30;55;95;480;0;2;0;0;0;0;Black & White;25;x
555;555_2;Darmanitan;Darmanitan Zen-Mode;5;1.3;92.9;Fire;Psychic;Sheer Force;;Zen Mode;Blue;50;50;0;20;Ground;;60;189;1059860;Ordinary;;;105;30;105;140;105;55;540;0;0;0;2;0;0;BW Next Destinies;60;x
555;555_1;Darmanitan;Galarian Darmanitan;8;1.7;120;Ice;;Gorilla Tactics;;Zen Mode;White;50;50;0;20;Ground;;60;168;1059860;Ordinary;;Galarian;105;140;55;30;55;95;480;0;2;0;0;0;0;SWSH Rebel Clash;48;x
555;555_3;Darmanitan;Galarian Darmanitan Zen-Mode;8;1.7;120;Ice;Fire;Gorilla Tactics;;Zen Mode;White;50;50;0;20;Ground;;60;189;1059860;Ordinary;;Galarian;105;160;55;30;55;135;540;0;0;0;2;0;0;SWSH Darkness Ablaze;28;x
556;556_0;Maractus;Maractus;5;1;28;Grass;;Water Absorb;Chlorophyll;Storm Drain;Green;50;50;0;20;Grass;;255;161;1000000;Ordinary;;;75;86;67;106;67;60;461;0;0;0;2;0;0;BW Dragons Exalted;16;x
557;557_0;Dwebble;Dwebble;5;0.3;14.5;Bug;Rock;Sturdy;Shell Armor;Weak Armor;Red;50;50;0;20;Bug;Mineral;190;65;1000000;Ordinary;;;50;65;85;35;35;55;325;0;0;1;0;0;0;BW Noble Victories;6;x
558;558_0;Crustle;Crustle;5;1.4;200;Bug;Rock;Sturdy;Shell Armor;Weak Armor;Red;50;50;0;20;Bug;Mineral;75;170;1000000;Ordinary;;;70;105;125;65;75;45;485;0;0;2;0;0;0;BW Noble Victories;7;x
559;559_0;Scraggy;Scraggy;5;0.6;11.8;Dark;Fighting;Shed Skin;Moxie;Intimidate;Yellow;50;50;0;15;Ground;Dragon;180;70;1000000;Ordinary;;;50;75;70;35;70;48;348;0;1;0;0;0;0;BW Next Destinies;73;x
560;560_0;Scrafty;Scrafty;5;1.1;30;Dark;Fighting;Shed Skin;Moxie;Intimidate;Red;50;50;0;15;Ground;Dragon;90;171;1000000;Ordinary;;;65;90;115;45;115;58;488;0;0;1;0;1;0;BW Next Destinies;74;x
560;560_1;Scrafty;Mega Scrafty;5;1.1;30;Dark;Fighting;Shed Skin;Moxie;Intimidate;Red;50;50;0;15;Ground;Dragon;90;171;1000000;Ordinary;Mega;;65;90;115;45;115;58;488;0;0;1;0;1;0;BW Next Destinies;74;x
561;561_0;Sigilyph;Sigilyph;5;1.4;14;Psychic;Flying;Wonder Skin;Magic Guard;Tinted Lens;Black;50;50;0;20;Flying;;45;172;1000000;Ordinary;;;72;58;80;103;80;97;490;0;0;0;2;0;0;BW Dragons Exalted;52;x
562;562_0;Yamask;Yamask;5;0.5;1.5;Ghost;;Mummy;;;Black;50;50;0;25;Mineral;Amorphous;190;61;1000000;Ordinary;;;38;30;85;55;65;30;303;0;0;1;0;0;0;BW Noble Victories;44;x
562;562_1;Yamask;Galarian Yamask;8;0.5;1.5;Ground;Ghost;Wandering Spirit;;;Black;50;50;0;25;Mineral;Amorphous;190;61;1000000;Ordinary;;Galarian;38;55;85;30;65;30;303;0;0;1;0;0;0;SWSH Rebel Clash;101;x
563;563_0;Cofagrigus;Cofagrigus;5;1.7;76.5;Ghost;;Mummy;;;Yellow;50;50;0;25;Mineral;Amorphous;90;169;1000000;Ordinary;;;58;50;145;95;105;30;483;0;0;2;0;0;0;BW Noble Victories;46;x
564;564_0;Tirtouga;Tirtouga;5;0.7;16.5;Water;Rock;Solid Rock;Sturdy;Swift Swim;Blue;87.5;12.5;0;30;Water1;Water3;45;71;1000000;Ordinary;;;54;78;103;53;45;22;355;0;0;1;0;0;0;BW Noble Victories;25;x
565;565_0;Carracosta;Carracosta;5;1.2;81;Water;Rock;Solid Rock;Sturdy;Swift Swim;Blue;87.5;12.5;0;30;Water1;Water3;45;173;1000000;Ordinary;;;74;108;133;83;65;32;495;0;0;2;0;0;0;BW Noble Victories;26;x
566;566_0;Archen;Archen;5;0.5;9.5;Rock;Flying;Defeatist;;;Yellow;87.5;12.5;0;30;Flying;Water3;45;71;1000000;Ordinary;;;55;112;45;74;45;70;401;0;1;0;0;0;0;BW Noble Victories;66;x
567;567_0;Archeops;Archeops;5;1.4;32;Rock;Flying;Defeatist;;;Yellow;87.5;12.5;0;30;Flying;Water3;45;177;1000000;Ordinary;;;75;140;65;112;65;110;567;0;2;0;0;0;0;BW Noble Victories;67;x
568;568_0;Trubbish;Trubbish;5;0.6;31;Poison;;Stench;Sticky Hold;Aftermath;Green;50;50;0;20;Mineral;;190;66;1000000;Ordinary;;;50;50;62;40;62;65;329;0;0;0;0;0;1;BW Dragons Exalted;53;x
569;569_0;Garbodor;Garbodor;5;1.9;107.3;Poison;;Stench;Weak Armor;Aftermath;Green;50;50;0;20;Mineral;;60;166;1000000;Ordinary;;;80;95;82;60;82;75;474;0;2;0;0;0;0;BW Dragons Exalted;54;x
569;569_1;Garbodor;Gigamax Garbodor;5;;;;;;;;;;;;;;;;;;;Gigamax;;;;;;;;;;;;;;;SWSH Evolving Skies;101;x
570;570_0;Zorua;Zorua;5;0.7;12.5;Dark;;Illusion;;;Gray;87.5;12.5;0;25;Ground;;75;66;1059860;Ordinary;;;40;65;40;80;40;65;330;0;0;0;1;0;0;Black & White;70;x
570;570_1;Zorua;Hisuian Zorua;8;0.7;12.5;Normal;Ghost;Illusion;;;Gray;87.5;12.5;0;25;Ground;;75;66;1059860;Ordinary;;Hisuian;35;60;40;85;40;70;330;0;0;0;1;0;0;SWSH Lost Origin;75;x
571;571_0;Zoroark;Zoroark;5;1.6;81.1;Dark;;Illusion;;;Gray;87.5;12.5;0;20;Ground;;45;179;1059860;Ordinary;;;60;105;60;120;60;105;510;0;0;0;2;0;0;Black & White;71;x
571;571_1;Zoroark;Hisuian Zoroark;8;1.6;73;Normal;Ghost;Illusion;;;Gray;87.5;12.5;0;20;Ground;;45;179;1059860;Ordinary;;Hisuian;60;105;60;120;60;105;510;0;0;0;2;0;0;SWSH Lost Origin;76;x
572;572_0;Minccino;Minccino;5;0.4;5.8;Normal;;Cute Charm;Technician;Skill Link;Gray;25;75;0;15;Ground;;255;60;800000;Ordinary;;;55;50;40;40;40;75;300;0;0;0;0;0;1;Black & White;88;x
573;573_0;Cinccino;Cinccino;5;0.5;7.5;Normal;;Cute Charm;Technician;Skill Link;Gray;25;75;0;15;Ground;;60;165;800000;Ordinary;;;75;95;60;65;60;115;470;0;0;0;0;0;2;Black & White;89;x
574;574_0;Gothita;Gothita;5;0.4;5.8;Psychic;;Frisk;Competitive;Shadow Tag;Purple;25;75;0;20;Human-Like;;200;58;1059860;Ordinary;;;45;30;50;55;65;45;290;0;0;0;0;1;0;BW Emerging Powers;44;x
575;575_0;Gothorita;Gothorita;5;0.7;18;Psychic;;Frisk;Competitive;Shadow Tag;Purple;25;75;0;20;Human-Like;;100;137;1059860;Ordinary;;;60;45;70;75;85;55;390;0;0;0;0;2;0;BW Emerging Powers;46;x
576;576_0;Gothitelle;Gothitelle;5;1.5;44;Psychic;;Frisk;Competitive;Shadow Tag;Purple;25;75;0;20;Human-Like;;50;245;1059860;Ordinary;;;70;55;95;95;110;65;490;0;0;0;0;3;0;BW Emerging Powers;47;x
577;577_0;Solosis;Solosis;5;0.3;1;Psychic;;Overcoat;Magic Guard;Regenerator;Green;50;50;0;20;Amorphous;;200;58;1059860;Ordinary;;;45;30;40;105;50;20;290;0;0;0;1;0;0;Black & White;55;x
578;578_0;Duosion;Duosion;5;0.6;8;Psychic;;Overcoat;Magic Guard;Regenerator;Green;50;50;0;20;Amorphous;;100;130;1059860;Ordinary;;;65;40;50;125;60;30;370;0;0;0;2;0;0;Black & White;56;x
579;579_0;Reuniclus;Reuniclus;5;1;20.1;Psychic;;Overcoat;Magic Guard;Regenerator;Green;50;50;0;20;Amorphous;;50;245;1059860;Ordinary;;;110;65;75;125;85;30;490;0;0;0;3;0;0;Black & White;57;x
580;580_0;Ducklett;Ducklett;5;0.5;5.5;Water;Flying;Keen Eye;Big Pecks;Hydration;Blue;50;50;0;20;Water1;Flying;190;61;1000000;Ordinary;;;62;44;50;44;50;55;305;1;0;0;0;0;0;Black & White;36;x
581;581_0;Swanna;Swanna;5;1.3;24.2;Water;Flying;Keen Eye;Big Pecks;Hydration;White;50;50;0;20;Water1;Flying;45;166;1000000;Ordinary;;;75;87;63;87;63;98;473;0;0;0;0;0;2;Black & White;37;x
582;582_0;Vanillite;Vanillite;5;0.4;5.7;Ice;;Ice Body;Snow Cloak;Weak Armor;White;50;50;0;20;Mineral;;255;61;1250000;Ordinary;;;36;50;50;65;60;44;305;0;0;0;1;0;0;BW Next Destinies;31;x
583;583_0;Vanillish;Vanillish;5;1.1;41;Ice;;Ice Body;Snow Cloak;Weak Armor;White;50;50;0;20;Mineral;;120;138;1250000;Ordinary;;;51;65;65;80;75;59;395;0;0;0;2;0;0;BW Next Destinies;32;x
584;584_0;Vanilluxe;Vanilluxe;5;1.3;57.5;Ice;;Ice Body;Snow Warning;Weak Armor;White;50;50;0;20;Mineral;;45;268;1250000;Ordinary;;;71;95;85;110;95;79;535;0;0;0;3;0;0;BW Next Destinies;33;x
585;585_0;Deerling;Deerling Spring Form;5;0.6;19.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Pink;50;50;0;20;Ground;;190;67;1000000;Ordinary;;;60;60;50;40;50;75;335;0;0;0;0;0;1;Black & White;13;x
585;585_1;Deerling;Deerling Summer Form;5;0.6;19.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Green;50;50;0;20;Ground;;190;67;1000000;Ordinary;;;60;60;50;40;50;75;335;0;0;0;0;0;1;BW Emerging Powers;15;x
585;585_2;Deerling;Deerling Autumn Form;5;0.6;19.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Red;50;50;0;20;Ground;;190;67;1000000;Ordinary;;;60;60;50;40;50;75;335;0;0;0;0;0;1;SV Temporal Forces;16;x
585;585_3;Deerling;Deerling Winter Form;5;0.6;19.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Brown;50;50;0;20;Ground;;190;67;1000000;Ordinary;;;60;60;50;40;50;75;335;0;0;0;0;0;1;SWSH Chilling Reign;11;x
586;586_0;Sawsbuck;Sawsbuck Spring Form;5;1.9;92.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Brown;50;50;0;20;Ground;;75;166;1000000;Ordinary;;;80;100;70;60;70;95;475;0;2;0;0;0;0;Black & White;14;x
586;586_1;Sawsbuck;Sawsbuck Summer Form;5;1.9;92.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Brown;50;50;0;20;Ground;;75;166;1000000;Ordinary;;;80;100;70;60;70;95;475;0;2;0;0;0;0;BW Emerging Powers;16;x
586;586_2;Sawsbuck;Sawsbuck Autumn Form;5;1.9;92.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Brown;50;50;0;20;Ground;;75;166;1000000;Ordinary;;;80;100;70;60;70;95;475;0;2;0;0;0;0;SV Temporal Forces;17;x
586;586_3;Sawsbuck;Sawsbuck Winter Form;5;1.9;92.5;Normal;Grass;Chlorophyll;Sap Sipper;Serene Grace;Brown;50;50;0;20;Ground;;75;166;1000000;Ordinary;;;80;100;70;60;70;95;475;0;2;0;0;0;0;SWSH Chilling Reign;12;x
587;587_0;Emolga;Emolga;5;0.4;5;Electric;Flying;Static;;Motor Drive;White;50;50;0;20;Ground;;200;150;1000000;Ordinary;;;55;75;60;75;60;103;428;0;0;0;0;0;2;BW Noble Victories;37;x
588;588_0;Karrablast;Karrablast;5;0.5;5.9;Bug;;Swarm;Shed Skin;No Guard;Blue;50;50;0;15;Bug;;200;63;1000000;Ordinary;;;50;75;45;40;45;60;315;0;1;0;0;0;0;BW Noble Victories;8;x
589;589_0;Escavalier;Escavalier;5;1;33;Bug;Steel;Swarm;Shell Armor;Overcoat;Gray;50;50;0;15;Bug;;75;173;1000000;Ordinary;;;70;135;105;60;105;20;495;0;2;0;0;0;0;BW Noble Victories;80;x
590;590_0;Foongus;Foongus;5;0.2;1;Grass;Poison;Effect Spore;;Regenerator;White;50;50;0;20;Grass;;190;59;1000000;Ordinary;;;69;55;45;55;55;15;294;1;0;0;0;0;0;BW Noble Victories;9;x
591;591_0;Amoonguss;Amoonguss;5;0.6;10.5;Grass;Poison;Effect Spore;;Regenerator;White;50;50;0;20;Grass;;75;162;1000000;Ordinary;;;114;85;70;85;80;30;464;2;0;0;0;0;0;BW Noble Victories;10;x
592;592_0;Frillish;Frillish;5;1.2;33;Water;Ghost;Water Absorb;Cursed Body;Damp;White;50;50;0;20;Amorphous;;190;67;1000000;Ordinary;;;55;40;50;65;85;40;335;0;0;0;0;1;0;BW Noble Victories;30;x
593;593_0;Jellicent;Jellicent;5;2.2;135;Water;Ghost;Water Absorb;Cursed Body;Damp;White;50;50;0;20;Amorphous;;60;168;1000000;Ordinary;;;100;60;70;85;105;60;480;0;0;0;0;2;0;BW Noble Victories;31;
594;594_0;Alomomola;Alomomola;5;1.2;31.6;Water;;Healer;Hydration;Regenerator;Pink;50;50;0;40;Water1;Water2;75;165;800000;Ordinary;;;165;75;80;40;45;65;470;2;0;0;0;0;0;Black & White;38;x
595;595_0;Joltik;Joltik;5;0.1;0.6;Bug;Electric;Compound Eyes;Unnerve;Swarm;Yellow;50;50;0;20;Bug;;190;64;1000000;Ordinary;;;50;47;50;57;50;65;319;0;0;0;0;0;1;Black & White;44;x
596;596_0;Galvantula;Galvantula;5;0.8;14.3;Bug;Electric;Compound Eyes;Unnerve;Swarm;Yellow;50;50;0;20;Bug;;75;165;1000000;Ordinary;;;70;77;60;97;60;108;472;0;0;0;0;0;2;Black & White;46;x
597;597_0;Ferroseed;Ferroseed;5;0.6;18.8;Grass;Steel;Iron Barbs;;;Gray;50;50;0;20;Grass;Mineral;255;61;1000000;Ordinary;;;44;50;91;24;86;10;305;0;0;1;0;0;0;BW Emerging Powers;70;x
598;598_0;Ferrothorn;Ferrothorn;5;1;110;Grass;Steel;Iron Barbs;;Anticipation;Gray;50;50;0;20;Grass;Mineral;90;171;1000000;Ordinary;;;74;94;131;54;116;20;489;0;0;2;0;0;0;BW Emerging Powers;72;x
599;599_0;Klink;Klink;5;0.3;21;Steel;;Plus;Minus;Clear Body;Gray;0;0;100;20;Mineral;;130;60;1059860;Ordinary;;;40;55;70;45;60;30;300;0;0;1;0;0;0;Black & White;74;x
600;600_0;Klang;Klang;5;0.6;51;Steel;;Plus;Minus;Clear Body;Gray;0;0;100;20;Mineral;;60;154;1059860;Ordinary;;;60;80;95;70;85;50;440;0;0;2;0;0;0;Black & White;75;x
601;601_0;Klinklang;Klinklang;5;0.6;81;Steel;;Plus;Minus;Clear Body;Gray;0;0;100;20;Mineral;;30;260;1059860;Ordinary;;;60;100;115;70;85;90;520;0;0;3;0;0;0;Black & White;76;x
602;602_0;Tynamo;Tynamo;5;0.2;0.3;Electric;;Levitate;;;White;50;50;0;20;Amorphous;;190;55;1250000;Ordinary;;;35;55;40;45;40;60;275;0;0;0;0;0;1;BW Noble Victories;38;x
603;603_0;Eelektrik;Eelektrik;5;1.2;22;Electric;;Levitate;;;Blue;50;50;0;20;Amorphous;;60;142;1250000;Ordinary;;;65;85;70;75;70;40;405;0;2;0;0;0;0;BW Noble Victories;40;x
604;604_0;Eelektross;Eelektross;5;2.1;80.5;Electric;;Levitate;;;Blue;50;50;0;20;Amorphous;;30;258;1250000;Ordinary;;;85;115;80;105;80;50;515;0;3;0;0;0;0;BW Noble Victories;41;x
604;604_1;Eelektross;Mega Eelektross;5;2.1;80.5;Electric;;Levitate;;;Blue;50;50;0;20;Amorphous;;30;258;1250000;Ordinary;Mega;;85;115;80;105;80;50;515;0;3;0;0;0;0;BW Noble Victories;41;x
605;605_0;Elgyem;Elgyem;5;0.5;9;Psychic;;Telepathy;Synchronize;Analytic;Blue;50;50;0;20;Human-Like;;255;67;1000000;Ordinary;;;55;55;55;85;55;30;335;0;0;0;1;0;0;BW Noble Victories;55;x
606;606_0;Beheeyem;Beheeyem;5;1;34.5;Psychic;;Telepathy;Synchronize;Analytic;Brown;50;50;0;20;Human-Like;;90;170;1000000;Ordinary;;;75;75;75;125;95;40;485;0;0;0;2;0;0;BW Noble Victories;56;x
607;607_0;Litwick;Litwick;5;0.3;3.1;Ghost;Fire;Flash Fire;Flame Body;Infiltrator;White;50;50;0;20;Amorphous;;190;55;1059860;Ordinary;;;50;30;55;65;55;20;275;0;0;0;1;0;0;BW Next Destinies;18;x
608;608_0;Lampent;Lampent;5;0.6;13;Ghost;Fire;Flash Fire;Flame Body;Infiltrator;Black;50;50;0;20;Amorphous;;90;130;1059860;Ordinary;;;60;40;60;95;60;55;370;0;0;0;2;0;0;BW Next Destinies;19;x
609;609_0;Chandelure;Chandelure;5;1;34.3;Ghost;Fire;Flash Fire;Flame Body;Infiltrator;Black;50;50;0;20;Amorphous;;45;260;1059860;Ordinary;;;60;55;90;145;90;80;520;0;0;0;3;0;0;BW Next Destinies;20;
609;609_1;Chandelure;Mega Chandelure;5;;;Ghost;Fire;;;;;50;50;0;;;;;;;;Mega;;60;75;110;175;110;90;620;;;;;;;;;
610;610_0;Axew;Axew;5;0.6;18;Dragon;;Rivalry;Mold Breaker;Unnerve;Green;50;50;0;40;Monster;Dragon;75;64;1250000;Ordinary;;;46;87;60;30;40;57;320;0;1;0;0;0;0;BW Noble Victories;86;x
611;611_0;Fraxure;Fraxure;5;1;36;Dragon;;Rivalry;Mold Breaker;Unnerve;Green;50;50;0;40;Monster;Dragon;60;144;1250000;Ordinary;;;66;117;70;40;50;67;410;0;2;0;0;0;0;BW Noble Victories;87;x
612;612_0;Haxorus;Haxorus;5;1.8;105.5;Dragon;;Rivalry;Mold Breaker;Unnerve;Yellow;50;50;0;40;Monster;Dragon;45;270;1250000;Ordinary;;;76;147;90;60;70;97;540;0;3;0;0;0;0;BW Noble Victories;88;x
613;613_0;Cubchoo;Cubchoo;5;0.5;8.5;Ice;;Snow Cloak;Slush Rush;Rattled;White;50;50;0;20;Ground;;120;61;1000000;Ordinary;;;55;70;40;60;40;40;305;0;1;0;0;0;0;BW Emerging Powers;28;x
614;614_0;Beartic;Beartic;5;2.6;260;Ice;;Snow Cloak;Slush Rush;Swift Swim;White;50;50;0;20;Ground;;60;177;1000000;Ordinary;;;95;130;80;70;80;50;505;0;2;0;0;0;0;BW Emerging Powers;30;x
615;615_0;Cryogonal;Cryogonal;5;1.1;148;Ice;;Levitate;;;Blue;0;0;100;25;Mineral;;25;180;1000000;Ordinary;;;80;50;50;95;135;105;515;0;0;0;0;2;0;BW Noble Victories;32;x
616;616_0;Shelmet;Shelmet;5;0.4;7.7;Bug;;Hydration;Shell Armor;Overcoat;Red;50;50;0;15;Bug;;200;61;1000000;Ordinary;;;50;40;85;40;65;25;305;0;0;1;0;0;0;BW Noble Victories;11;x
617;617_0;Accelgor;Accelgor;5;0.8;25.3;Bug;;Hydration;Sticky Hold;Unburden;Red;50;50;0;15;Bug;;75;173;1000000;Ordinary;;;80;70;40;100;60;145;495;0;0;0;0;0;2;BW Noble Victories;12;x
618;618_0;Stunfisk;Stunfisk;5;0.7;11;Ground;Electric;Static;Limber;Sand Veil;Brown;50;50;0;20;Water1;Amorphous;75;165;1000000;Ordinary;;;109;66;84;81;99;32;471;2;0;0;0;0;0;BW Noble Victories;42;x
618;618_1;Stunfisk;Galarian Stunfisk;8;0.7;20.5;Ground;Steel;Mimicry;;;Green;50;50;0;20;Water1;Amorphous;75;165;1000000;Ordinary;;Galarian;109;81;99;66;84;32;471;2;0;0;0;0;0;Sword & Shield;132;x
619;619_0;Mienfoo;Mienfoo;5;0.9;20;Fighting;;Inner Focus;Regenerator;Reckless;Yellow;50;50;0;25;Ground;Human-Like;180;70;1059860;Ordinary;;;45;85;50;55;50;65;350;0;1;0;0;0;0;BW Noble Victories;69;x
620;620_0;Mienshao;Mienshao;5;1.4;35.5;Fighting;;Inner Focus;Regenerator;Reckless;Purple;50;50;0;25;Ground;Human-Like;45;179;1059860;Ordinary;;;65;125;60;95;60;105;510;0;2;0;0;0;0;BW Noble Victories;70;x
621;621_0;Druddigon;Druddigon;5;1.6;139;Dragon;;Rough Skin;Sheer Force;Mold Breaker;Red;50;50;0;30;Dragon;Monster;45;170;1000000;Ordinary;;;77;120;90;60;90;48;485;0;2;0;0;0;0;BW Noble Victories;89;
622;622_0;Golett;Golett;5;1;92;Ground;Ghost;Iron Fist;Klutz;No Guard;Green;0;0;100;25;Mineral;;190;61;1000000;Ordinary;;;59;74;50;35;50;35;303;0;1;0;0;0;0;BW Dragons Exalted;58;x
623;623_0;Golurk;Golurk;5;2.8;330;Ground;Ghost;Iron Fist;Klutz;No Guard;Green;0;0;100;25;Mineral;;90;169;1000000;Ordinary;;;89;124;80;55;80;55;483;0;2;0;0;0;0;BW Dragons Exalted;59;x
623;623_1;Golurk;Mega Golurk;5;2.8;330;Ground;Ghost;Iron Fist;Klutz;No Guard;Green;0;0;100;25;Mineral;;90;169;1000000;Ordinary;Mega;;89;124;80;55;80;55;483;0;2;0;0;0;0;BW Dragons Exalted;59;x
624;624_0;Pawniard;Pawniard;5;0.5;10.2;Dark;Steel;Defiant;Inner Focus;Pressure;Red;50;50;0;20;Human-Like;;120;68;1000000;Ordinary;;;45;85;70;40;40;60;340;0;1;0;0;0;0;BW Noble Victories;81;x
625;625_0;Bisharp;Bisharp;5;1.6;70;Dark;Steel;Defiant;Inner Focus;Pressure;Red;50;50;0;20;Human-Like;;45;172;1000000;Ordinary;;;65;125;100;60;70;70;490;0;2;0;0;0;0;BW Noble Victories;82;x
626;626_0;Bouffalant;Bouffalant;5;1.6;94.6;Normal;;Reckless;Sap Sipper;Soundproof;Brown;50;50;0;20;Ground;;45;172;1000000;Ordinary;;;95;110;95;40;95;55;490;0;2;0;0;0;0;Black & White;90;x
627;627_0;Rufflet;Rufflet;5;0.5;10.5;Normal;Flying;Keen Eye;Sheer Force;Hustle;White;100;0;0;20;Flying;;190;70;1250000;Ordinary;;;70;83;50;37;50;60;350;0;1;0;0;0;0;BW Emerging Powers;87;x
628;628_0;Braviary;Braviary;5;1.5;41;Normal;Flying;Keen Eye;Sheer Force;Defiant;Red;100;0;0;20;Flying;;60;179;1250000;Ordinary;;;100;123;75;57;75;80;510;0;2;0;0;0;0;BW Emerging Powers;88;x
628;628_1;Braviary;Hisuian Braviary;8;1.7;43.4;Psychic;Flying;Keen Eye;Sheer Force;Tinted Lens;Red;100;0;0;20;Flying;;60;179;1250000;Ordinary;;Hisuian;110;83;70;112;70;65;510;0;0;0;2;0;0;SWSH Astral Radiance;132;x
629;629_0;Vullaby;Vullaby;5;0.5;9;Dark;Flying;Big Pecks;Overcoat;Weak Armor;Brown;0;100;0;20;Flying;;190;74;1250000;Ordinary;;;70;55;75;45;65;60;370;0;0;1;0;0;0;Black & White;72;x
630;630_0;Mandibuzz;Mandibuzz;5;1.2;39.5;Dark;Flying;Big Pecks;Overcoat;Weak Armor;Brown;0;100;0;20;Flying;;60;179;1250000;Ordinary;;;110;65;105;55;95;80;510;0;0;0;2;0;0;Black & White;73;
631;631_0;Heatmor;Heatmor;5;1.4;58;Fire;;Gluttony;Flash Fire;White Smoke;Red;50;50;0;20;Ground;;90;169;1000000;Ordinary;;;85;97;66;105;66;65;484;0;0;0;2;0;0;BW Noble Victories;18;x
632;632_0;Durant;Durant;5;0.3;33;Bug;Steel;Swarm;Hustle;Truant;Gray;50;50;0;20;Bug;;90;169;1000000;Ordinary;;;58;109;112;48;48;109;484;0;0;2;0;0;0;BW Noble Victories;83;x
633;633_0;Deino;Deino;5;0.8;17.3;Dark;Dragon;Hustle;;;Blue;50;50;0;40;Dragon;;45;60;1250000;Ordinary;;;52;65;50;45;50;38;300;0;1;0;0;0;0;BW Noble Victories;77;x
634;634_0;Zweilous;Zweilous;5;1.4;50;Dark;Dragon;Hustle;;;Blue;50;50;0;40;Dragon;;45;147;1250000;Ordinary;;;72;85;70;65;70;58;420;0;2;0;0;0;0;BW Noble Victories;78;x
